Product_Name, Price, Shipping_Cost
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING Video Card|H470 STEEL LEGEND LGA 1200 ATX Motherboard,$927.98,
GIGABYTE AORUS GeForce RTX 3080 DirectX 12 GV-N3080AORUS X-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card + GIGABYTE GP-P850GM 850W ATX Power Supply,$989.98,
GIGABYTE GeForce RTX 3080 DirectX 12 GV-N3080GAMING OC-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card + GIGABYTE GP-P850GM 850W ATX Power Supply,$839.98,
GIGABYTE GP-P850GM 850W ATX Power Supply + GIGABYTE GeForce RTX 3080 DirectX 12 GV-N3080VISION OC-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card,$859.98,
GIGABYTE AORUS GeForce RTX 3080 DirectX 12 GV-N3080AORUS M-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card + GIGABYTE GP-P850GM 850W ATX Power Supply,$939.98,
GIGABYTE GeForce RTX 3080 DirectX 12 GV-N3080VISION OC-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card,$769.99,$6.99 Shipping
Montech X1 White ATX Mid-Tower Case/High Airflow| Front Mesh Ventilation| Tempered Glass Side Panel| Pre-Installed 4 x 120mm Autoflow Rainbow LED Fans,$56.69,$6.00 Shipping
Montech Air 900 ARGB ATX Mid-Tower PC Gaming Case/ High-Airflow| ARGB Lighting Strip| Sync With Motherboard| Dust- Proof| Unique Mesh Side Panel/ EATX| ATX| Micro ATX| Mini ITX| Black,$64.69,Free Shipping
Montech X1 Black ATX Mid-Tower Case/High Airflow| Front Mesh Ventilation| Tempered Glass Side Panel| Pre-Installed 4 x 120mm Autoflow Rainbow LED Fans,$53.69,Free Shipping
Montech Flyer Micro ATX Computer Gaming Case/ High-Airflow| Acrylic Side Panel| Pre-Installed 2 x 120mm Fan| Hairline Surface Front Panel| RGB LED Shinning Strip/ Micro ATX| Mini-ITX/ Black,$47.99,Free Shipping
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING Video Card| 10G-P5-3897-KR| 10GB GDDR6X| iCX3 Technology| ARGB LED| Metal Backplate,$809.99,$6.99 Shipping
ASUS ROG Strix GeForce RTX 3080 DirectX 12 ROG-STRIX-RTX3080-O10G-GAMING 10GB 320-Bit GDDR6X PCI Express 4.0 x16 HDCP Ready Video Card,$849.99,$6.99 Shipping
GIGABYTE GeForce RTX 3080 DirectX 12 GV-N3080GAMING OC-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card,$749.99,$6.99 Shipping
GIGABYTE AORUS GeForce RTX 3080 DirectX 12 GV-N3080AORUS M-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card,$849.99,$6.99 Shipping
Montech Air 900 Mesh ATX Mid-Tower PC Gaming Case| High & Max Airflow| Full-Metal Mesh Front Panel| Tempered Glass| Dust- Proof| Unique Mesh Side Panel - EATX| ATX| Micro ATX| Mini ITX - Black,$63.99,Free Shipping
Montech Air X ARGB - White ATX Mid-Tower Gaming Case/ Super High Airflow/ Pull Out Tempered Glass/ Metallic Diamond Mesh Front Panel/200mm ARGB Fans*2 & 120mm ARGB Fan*1 & Fan Controller Pre-Installed,$79.69,Free Shipping
Montech Air X ARGB - Black ATX Mid-Tower Gaming Case/ Super High Airflow/ Pull Out Tempered Glass/ Metallic Diamond Mesh Front Panel/ 2 x 200mm ARGB Fans & 1 x 120mm ARGB Fan & Fan Controller,$75.99,$7.69 Shipping
Montech Flyer Micro ATX Computer Gaming Case/ High-Airflow| Acrylic Side Panel| Pre-Installed 2 x 120mm Fan| Hairline Surface Front Panel| RGB LED Shinning Strip/ Micro ATX| Mini-ITX/ Black| White,$51.99,$6.24 Shipping
EVGA GeForce RTX 3080 XC3 ULTRA GAMING Video Card| 10G-P5-3885-KR| 10GB GDDR6X| iCX3 Cooling| ARGB LED| Metal Backplate,$769.99,$6.99 Shipping
MSI GeForce RTX 3080 DirectX 12 RTX 3080 GAMING X TRIO 10G 10GB 320-Bit GDDR6X PCI Express 4.0 HDCP Ready Video Card,$759.99,$6.99 Shipping
MSI GeForce RTX 3080 DirectX 12 RTX 3080 VENTUS 3X 10G OC 10GB 320-Bit GDDR6X PCI Express 4.0 HDCP Ready Video Card,$739.99,$6.99 Shipping
ZOTAC GAMING GeForce RTX 3080 Trinity 10GB GDDR6X 320-bit 19 Gbps PCIE 4.0 Gaming Graphics Card| IceStorm 2.0 Advanced Cooling| SPECTRA 2.0 RGB Lighting| ZT-A30800D-10P,$739.99,$6.99 Shipping
ZOTAC GAMING GeForce RTX 3080 Trinity OC 10GB GDDR6X 320-bit 19 Gbps PCIE 4.0 Gaming Graphics Card| IceStorm 2.0 Advanced Cooling| SPECTRA 2.0 RGB Lighting| ZT-A30800J-10P,$749.99,$6.99 Shipping
ABS Gladiator Gaming PC - Intel i9-10850K - GeForce RTX 3080 - G.Skill TridentZ RGB 32GB DDR4 3200MHz - 1TB M.2 NVMe SSD,$2299.99,Free Shipping
ABS Gladiator Gaming PC - Intel i9 10850K - ASUS ROG Strix RTX 3080 10GB - G.Skill TridentZ RGB 32GB DDR4 3200MHz - 1TB Intel M.2 NVMe SSD - ASUS ROG Strix LC 240 RGB AIO Cooler,$2999.99,$12.99 Shipping
MSI GeForce RTX 3080 DirectX 12 RTX 3080 VENTUS 3X 10G 10GB 320-Bit GDDR6X PCI Express 4.0 HDCP Ready Video Card,$699.99,$6.99 Shipping
EVGA GeForce RTX 3080 XC3 GAMING Video Card| 10G-P5-3883-KR| 10GB GDDR6X| iCX3 Cooling| ARGB LED| Metal Backplate,$749.99,$6.99 Shipping
ASUS TUF Gaming NVIDIA GeForce RTX 3080 TUF-RTX3080-10G-GAMING Video Card,$699.99,$6.99 Shipping
GIGABYTE GeForce RTX 3080 DirectX 12 GV-N3080EAGLE OC-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card,$729.99,$6.99 Shipping
EVGA GeForce RTX 3080 XC3 BLACK GAMING Video Card| 10G-P5-3881-KR| 10GB GDDR6X| iCX3 Cooling| ARGB LED,$729.99,$6.99 Shipping
EVGA GeForce RTX 3080 FTW3 GAMING Video Card| 10G-P5-3895-KR| 10GB GDDR6X| iCX3 Technology| ARGB LED| Metal Backplate,$789.99,$6.99 Shipping
GIGABYTE AORUS GeForce RTX 3080 DirectX 12 GV-N3080AORUS X-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card,$899.99,$6.99 Shipping
ASUS TUF Gaming GeForce RTX 3080 TUF-RTX3080-O10G-GAMING Video Card,$1599.00,Free Shipping
ABS Gladiator Battlestation - Intel Core i9-10900KF - GeForce RTX 3080 - Corsair Vengeance RGB Pro 32 GB DDR4 3600 MHz - 1TB M.2 NVMe SSD - Corsair H115i RGB AIO Cooler 280MM,$3599.99,$12.99 Shipping
ABS Gladiator Gaming PC - Intel i7 10700F - GeForce RTX 3080 - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,$1899.99,Free Shipping
ABS Gladiator Gaming PC - Intel i9 9900K - GeForce RTX 3080 - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,$2099.99,$12.99 Shipping
ABS Gladiator Gaming PC - Intel i9-10850K - GIGABYTE GeForce RTX 3080 Gaming OC 10GB - G.Skill TridentZ RGB 32GB DDR4 3200MHz - 1TB M.2 NVMe SSD - AORUS RGB Liquid Cooling 280mm,$2799.99,Free Shipping
MSI GeForce RTX 3080 VENTUS 3X 10G OC VGA| OLOy 32GB (2 x 16GB) DDR4 3600 Desktop Memory,$844.98,
MSI GeForce RTX 3080 GAMING X TRIO 10G VGA| OLOy WarHawk RGB 16GB (2 x 8GB) DDR4 3600 Desktop Memory,$834.98,
ZOTAC GAMING GeForce RTX 3080 Trinity 10GB GDDR6X 320-bit 19 Gbps PCIE 4.0 Gaming Graphics Card| ASRock Z390 PHANTOM GAMING SLI/ac Motherboard,$864.98,
